city,state_abbr,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg
Louisburg,KS,9726.263991,17075.55064,80,1099,10373,164,22761,18679224,2732264
Louise,MS,488.203866,759.3094095,0,27,337,0,0,534803,0
Louisiana,IL,19383.23929,47704.80346,104,2942,35122,436,51315,35880670,6159954
Louisville,CO,358315.9168,760122.1975,457,7175,77988,900,164706,136659140,19771696
Louisville,IL,4168.382117,6285.117651,24,326,3658,0,8,3737316,971
Louisville,MS,27283.92059,57118.84361,237,3598,31454,307,42382,52726747,5087632
Louisville,NE,2258.941014,3616.648615,43,241,2831,43,7484,3064082,898458
Louisville,NY,16880.40876,28079.11165,49,346,3292,0,0,5926566,0
Louisville,OH,13895.87394,24378.24056,194,2020,19968,508,103223,34042976,12391189
Louisville,TN,2203.025318,3057.546644,41,641,6239,100,12806,10458107,1537214
Louisville/Jefferson County metro government (balance),IN,2536535.548,4224118.615,5138,119619,1288813,15070,2021806,2160448106,242703053
Louisville/Jefferson County metro government (balance),KY,7609606.643,12672355.85,5138,119619,1288813,15070,2021806,2160448106,242703053
Loup City,NE,4342.549912,6617.16825,46,278,2644,48,8300,2861942,996318
Lovelady,TX,26.37442591,57.36197099,2,15,176,2,266,235944,31878
Loveland,CO,743931.4443,1478844.833,1068,13356,144852,2131,390744,253825455,46906017
Loveland,OH,35818.49441,54785.37607,231,3056,35014,606,82134,59694329,9859553
Lovell,ME,9293.261877,14257.70681,16,190,1588,0,0,1723872,0
Lovell,WY,1622.638854,3030.643033,66,608,6553,37,9071,8083053,1088909
Lovelock,NV,2770.340059,3916.604738,41,222,2795,90,12959,3447357,1555634
Loves Park,IL,237665.2424,375972.3846,483,5997,68690,2875,476674,117109027,57221221
Lovettsville,VA,1579.440205,2791.732016,26,332,4185,45,6378,5188641,765595
Lovilia,IA,442.1069317,827.506431,6,20,223,8,1257,227620,150896
Loving,NM,215.2493426,325.9778903,6,39,402,1,239,852403,28639
Lovington,IL,3477.037679,6582.42861,18,189,2124,128,16797,2169956,2016408
Lovington,NM,22999.27298,50159.31022,118,1859,19122,286,53211,40575226,6387580
Lowden,IA,2151.581438,3373.999181,20,98,1072,32,4993,1160035,599334
Lowell,AR,83178.02337,119821.8367,100,2041,26923,0,3,57127097,315
Lowell,IN,9263.927275,14138.44061,180,2662,22566,447,74993,38473366,9002335
