,city,housing_units,total_pop,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,state_id
55621,Vivian,1444.0,3645.0,1882.0,19201.0,505.0,48477.0,40742607.0,5819307.0,LA
55631,Blanchard,1103.0,2973.0,1700.0,17342.0,261.0,25069.0,36797014.0,3009305.0,LA
55646,West Monroe,5212.0,13031.0,6126.0,71285.0,1442.0,112532.0,113746094.0,13508665.0,LA
55647,Monroe,17768.0,49361.0,21859.0,254439.0,5682.0,441009.0,405994641.0,52939920.0,LA
55649,Richwood,498.0,5626.0,671.0,7802.0,136.0,10593.0,12449491.0,1271659.0,LA
55651,Sterlington,724.0,2165.0,1008.0,11717.0,171.0,14085.0,18695842.0,1690854.0,LA
55654,Baskin,98.0,324.0,139.0,1619.0,16.0,1216.0,2582828.0,146023.0,LA
55655,Bastrop,4228.0,10851.0,5179.0,60289.0,1061.0,82791.0,96199636.0,9938448.0,LA
55656,Bernice,515.0,1355.0,648.0,7537.0,76.0,6303.0,12025657.0,756620.0,LA
55657,Bonita,84.0,137.0,108.0,1257.0,15.0,1246.0,2005323.0,149604.0,LA
55658,Chatham,217.0,601.0,290.0,3368.0,29.0,2375.0,5373365.0,285085.0,LA
55659,Downsville,43.0,92.0,60.0,695.0,8.0,634.0,1108205.0,76137.0,LA
55660,Choudrant,369.0,1102.0,548.0,6374.0,82.0,6751.0,10170277.0,810380.0,LA
55661,Collinston,117.0,365.0,154.0,1787.0,29.0,2239.0,2851449.0,268730.0,LA
55662,Delhi,1034.0,2938.0,1241.0,14444.0,342.0,26548.0,23047057.0,3186909.0,LA
55663,Delta,105.0,245.0,130.0,1512.0,21.0,1609.0,2412163.0,193160.0,LA
55665,Vienna,152.0,516.0,217.0,2525.0,40.0,3308.0,4028922.0,397060.0,LA
55666,Dubach,411.0,963.0,586.0,6811.0,108.0,8923.0,10868720.0,1071139.0,LA
55667,Epps,186.0,1167.0,245.0,2849.0,33.0,2580.0,4546191.0,309735.0,LA
55668,Eros,58.0,198.0,77.0,895.0,8.0,631.0,1428363.0,75782.0,LA
55670,Farmerville,1289.0,3863.0,1475.0,17148.0,277.0,22898.0,27362877.0,2748744.0,LA
55671,Ruston,7779.0,22245.0,9012.0,105202.0,2210.0,182668.0,167865231.0,21927990.0,LA
55672,Grambling,1484.0,5107.0,1788.0,20794.0,375.0,31000.0,33179454.0,3721371.0,LA
55673,Hodge,212.0,384.0,278.0,3230.0,49.0,4012.0,5153135.0,481660.0,LA
55674,Jonesboro,1571.0,4623.0,1937.0,22518.0,437.0,34575.0,35930875.0,4150507.0,LA
55675,Kilbourne,170.0,389.0,211.0,2452.0,41.0,3402.0,3912039.0,408377.0,LA
55676,Lake Providence,1580.0,3779.0,1765.0,20547.0,479.0,38411.0,32785794.0,4610972.0,LA
