,city,housing_units,total_pop,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,state_id,lof_score_100,lof_score_500,lof_score_1000
58094,Tom Bean,412.0,1009.0,743.0,6631.0,66.0,5438.0,8879202.0,652752.0,TX,-1.0119803612312492,-1.0002675329607462,-1.0114569091433636
58095,Howe,981.0,2692.0,1755.0,15655.0,169.0,14037.0,20962679.0,1685097.0,TX,-0.9781652296980945,-0.9989074312600844,-1.0242752161956628
58097,Knollwood,99.0,379.0,138.0,1231.0,18.0,1505.0,1648584.0,180692.0,TX,-1.0080454597512256,-0.9955919086948298,-0.9962156893667987
58098,Southmayd,374.0,976.0,610.0,5459.0,60.0,4966.0,7309705.0,596165.0,TX,-0.9899883084402589,-0.9972215289078294,-1.0080140792558072
58100,Sadler,138.0,524.0,227.0,2034.0,30.0,2450.0,2724167.0,294120.0,TX,-1.0463578493687817,-0.988950263855031,-0.9977725918858857
58101,Dorchester,39.0,93.0,70.0,635.0,8.0,636.0,850370.0,76340.0,TX,-0.9803702461615038,-0.9928091158301344,-0.994606961030266
58118,Lavon,805.0,2663.0,1521.0,13577.0,157.0,13050.0,18179624.0,1566603.0,TX,-0.9804996225487406,-1.0007405501429059,-1.0208558438178355
58119,St. Paul,339.0,1235.0,655.0,5856.0,59.0,4979.0,7841363.0,597682.0,TX,-1.0024388624706198,-0.9896541157148508,-1.0115372873886412
58125,Bardwell,172.0,637.0,322.0,2888.0,32.0,2681.0,3867272.0,321797.0,TX,-1.0159821594156078,-0.98873495291537,-0.99958762397184
58126,Barry,90.0,300.0,148.0,1326.0,25.0,2033.0,1775619.0,244087.0,TX,-1.0292450176940202,-0.9858393518505701,-0.9981441599911716
58127,Blooming Grove,299.0,854.0,491.0,4405.0,54.0,4445.0,5898716.0,533533.0,TX,-1.017429730199868,-0.9853386376738644,-1.0012520311200344
58128,Canton,1486.0,3672.0,2396.0,21471.0,312.0,26047.0,28750083.0,3126723.0,TX,-0.9815831798887418,-1.0050017541630107,-1.0443238400573216
58130,DeSoto,19048.0,51854.0,32290.0,289362.0,7116.0,589893.0,387455480.0,70812392.0,TX,-1.030872620972527,-1.277300931085555,-1.619389672077517
58132,Duncanville,13788.0,39599.0,22054.0,197630.0,3773.0,312771.0,264627114.0,37545887.0,TX,-1.0060240105485523,-1.2031436824741863,-1.392217569872899
58133,Ovilla,1372.0,3639.0,2765.0,24782.0,221.0,18281.0,33182835.0,2194485.0,TX,-0.9780743548754416,-1.0070258849947067,-1.0522705002128574
58134,Midlothian,6878.0,21530.0,13057.0,117004.0,897.0,74380.0,156668677.0,8928737.0,TX,-1.0239302912531891,-1.1502189295404632,-1.2663765066926032
58136,Navarro,64.0,171.0,103.0,921.0,7.0,572.0,1233331.0,68623.0,TX,-0.9839019589505227,-0.988491004321766,-0.9969989783809501
58137,Angus,145.0,450.0,237.0,2123.0,18.0,1521.0,2843142.0,182531.0,TX,-0.9826917981811494,-0.9941782244315912,-1.0029914044135402
58138,Mustang,6.0,10.0,10.0,92.0,1.0,57.0,123333.0,6862.0,TX,-1.017865393933605,-1.235225272205363,-1.2748576695652996
58139,Richland,105.0,225.0,174.0,1563.0,17.0,1448.0,2092945.0,173787.0,TX,-1.008284986520302,-0.9959283562947407,-1.0033808744672352
58140,Corsicana,8491.0,23923.0,13433.0,120418.0,2383.0,197550.0,161239410.0,23714408.0,TX,-0.990809525558287,-1.0862442138091688,-1.1971400764004394
58141,Eureka,125.0,312.0,202.0,1808.0,14.0,1122.0,2420412.0,134672.0,TX,-0.9797099160507042,-0.9952561661380357,-1.0079619765191257
58142,Mildred,120.0,373.0,194.0,1739.0,13.0,1079.0,2327912.0,129525.0,TX,-0.9726286739627558,-0.9971773774796977,-1.0049481691300999
58143,Emhouse,59.0,112.0,96.0,864.0,17.0,1406.0,1157046.0,168801.0,TX,-1.0134907986543098,-0.9866096735384037,-0.9939564467306697
58144,Retreat,146.0,449.0,246.0,2208.0,29.0,2438.0,2957126.0,292719.0,TX,-1.0294709738209324,-0.9938251544838247,-0.9991065859564056
58145,Oak Valley,158.0,454.0,268.0,2404.0,32.0,2655.0,3219150.0,318656.0,TX,-1.0254825429427488,-0.9944425375114452,-0.9985791408118698
58147,Kerens,594.0,1629.0,941.0,8434.0,133.0,10987.0,11292844.0,1318953.0,TX,-1.0308223437753716,-0.9911934059081255,-1.0023447092834603
58151,Crandall,971.0,3126.0,1917.0,17182.0,196.0,16277.0,23006516.0,1953950.0,TX,-0.9825267079984883,-1.0022535936767145,-1.0315673282129814
58152,Seagoville,4261.0,15701.0,7188.0,64411.0,811.0,67210.0,86246440.0,8068065.0,TX,-0.9726089843566552,-1.0651616534571071,-1.142834246726929
58155,Glenn Heights,3945.0,11958.0,7241.0,64887.0,1240.0,102799.0,86884074.0,12340242.0,TX,-0.9866347959931485,-1.036889545915055,-1.1151983137042567
58156,Lancaster,13102.0,38426.0,22538.0,201967.0,3577.0,296552.0,270433524.0,35598854.0,TX,-1.0091009386891916,-1.220335463218645,-1.4121794163723862
