zip,city,city_vmt_estimate,natl_avg_vmt_estimate,natl_per_capita_vmt_estimate
01349,Gill,13559600,75422411,7555
01349,Wendell,4787459,75422411,7555
01349,Montague,31503743,75422411,7555
01350,Florida,7406398,75422411,7555
01350,Readsboro,2833272,75422411,7555
01350,Stamford,2772695,75422411,7555
01350,Monroe,1753059,75422411,7555
01351,Deerfield,118232254,75422411,7555
01351,Wendell,4787459,75422411,7555
01351,Montague,31503743,75422411,7555
01351,Sunderland,14913439,75422411,7555
01351,Leverett,10566721,75422411,7555
01354,Erving,31206213,75422411,7555
01354,Gill,13559600,75422411,7555
01354,Montague,31503743,75422411,7555
01354,Bernardston,65154022,75422411,7555
01354,Greenfield Town,164735143,75422411,7555
01354,Northfield,14192291,75422411,7555
01355,Ware,47543692,75422411,7555
01355,New Salem,16397328,75422411,7555
01355,Wendell,4787459,75422411,7555
01355,Orange,31729187,75422411,7555
01355,Belchertown,83023322,75422411,7555
01355,Petersham,10694082,75422411,7555
01355,Pelham,13579071,75422411,7555
01355,Shutesbury,9731589,75422411,7555
01360,Erving,31206213,75422411,7555
01360,Gill,13559600,75422411,7555
01360,Bernardston,65154022,75422411,7555
01360,Winchester,30430666,75422411,7555
01360,Hinsdale,21818621,75422411,7555
01360,Vernon,24158755,75422411,7555
01360,Northfield,14192291,75422411,7555
01360,Warwick,4747825,75422411,7555
01364,New Salem,16397328,75422411,7555
01364,Wendell,4787459,75422411,7555
01364,Athol,65310391,75422411,7555
01364,Orange,31729187,75422411,7555
01364,Petersham,10694082,75422411,7555
01364,Royalston,5320122,75422411,7555
01364,Warwick,4747825,75422411,7555
01366,Hardwick,11037130,75422411,7555
01366,Phillipston,26943238,75422411,7555
01366,New Salem,16397328,75422411,7555
01366,Athol,65310391,75422411,7555
01366,Barre,25318691,75422411,7555
01366,Petersham,10694082,75422411,7555
01367,Rowe,1815801,75422411,7555
01367,Florida,7406398,75422411,7555
01367,Heath,972817,75422411,7555
01367,Readsboro,2833272,75422411,7555
01367,Whitingham,6269917,75422411,7555
01367,Monroe,1753059,75422411,7555
01367,Charlemont,16212671,75422411,7555
01368,Phillipston,26943238,75422411,7555
01368,Athol,65310391,75422411,7555
01368,Orange,31729187,75422411,7555
01368,Templeton,154224132,75422411,7555
01368,Fitzwilliam,21874162,75422411,7555
01368,Richmond,5987521,75422411,7555
01368,Winchendon,62201915,75422411,7555
01368,Royalston,5320122,75422411,7555
01368,Warwick,4747825,75422411,7555
01370,Buckland,6510810,75422411,7555
01370,Conway,8931146,75422411,7555
01370,Shelburne,39911788,75422411,7555
01370,Deerfield,118232254,75422411,7555
01370,Heath,972817,75422411,7555
01370,Greenfield Town,164735143,75422411,7555
01370,Charlemont,16212671,75422411,7555
01370,Colrain,9830649,75422411,7555
01370,Ashfield,8818513,75422411,7555
01373,Conway,8931146,75422411,7555
01373,Deerfield,118232254,75422411,7555
01373,Whately,57064812,75422411,7555
01373,Hatfield,59057585,75422411,7555
01373,Sunderland,14913439,75422411,7555
01373,Williamsburg,22810955,75422411,7555
01375,Hadley,70351957,75422411,7555
01375,Deerfield,118232254,75422411,7555
01375,Montague,31503743,75422411,7555
01375,Amherst,104715304,75422411,7555
01375,Whately,57064812,75422411,7555
01375,Hatfield,59057585,75422411,7555
01375,Sunderland,14913439,75422411,7555
01375,Leverett,10566721,75422411,7555
01376,Gill,13559600,75422411,7555
01376,Deerfield,118232254,75422411,7555
01376,Montague,31503743,75422411,7555
01376,Greenfield Town,164735143,75422411,7555
01378,Erving,31206213,75422411,7555
01378,Orange,31729187,75422411,7555
01378,Winchester,30430666,75422411,7555
01378,Richmond,5987521,75422411,7555
01378,Northfield,14192291,75422411,7555
01378,Royalston,5320122,75422411,7555
01378,Warwick,4747825,75422411,7555
